,A,b,size,mean_nonzero,iters,ns
85,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,2971523350
86,../data/0217918_pwtk_A.mtx,,217918,27,10000,2714829066
87,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,3664594327
88,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,4906162807
89,../data/0952203_ldoor_A.mtx,,952203,24,10000,10242990601
90,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4228115722
91,../data/0007102_Kuu_A.mtx,,7102,24,10000,471699549
92,../data/0036000_nd12k_A.mtx,,36000,198,10000,2298157263
93,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1130154479
94,../data/0062451_cant_A.mtx,,62451,32,10000,1281553808
95,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,657964223
96,../data/0083334_consph_A.mtx,,83334,36,10000,1581151944
97,../data/0115967_torso2_A.mtx,,115967,8,10000,1119824427
98,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,2981146671
99,../data/0217918_pwtk_A.mtx,,217918,27,10000,2715277126
100,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,3667828557
101,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,4902928143
102,../data/0952203_ldoor_A.mtx,,952203,24,10000,10238365774
103,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4238100428
104,../data/0007102_Kuu_A.mtx,,7102,24,10000,473316213
105,../data/0036000_nd12k_A.mtx,,36000,198,10000,2309189889
106,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1134084505
107,../data/0062451_cant_A.mtx,,62451,32,10000,1281949046
108,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,660582853
109,../data/0083334_consph_A.mtx,,83334,36,10000,1570725235
110,../data/0115967_torso2_A.mtx,,115967,8,10000,1128176169
111,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,2978785854
112,../data/0217918_pwtk_A.mtx,,217918,27,10000,2709238118
113,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,3670250859
114,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,4909696409
115,../data/0952203_ldoor_A.mtx,,952203,24,10000,10233111012
116,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4237987847
117,../data/0007102_Kuu_A.mtx,,7102,24,10000,476380719
118,../data/0036000_nd12k_A.mtx,,36000,198,10000,2287388166
119,../data/0036417_pdb1HYS_A.mtx,,36417,60,10000,1140911164
120,../data/0062451_cant_A.mtx,,62451,32,10000,1287961949
121,../data/0081920_shallow_water2_A.mtx,,81920,2,10000,663007784
122,../data/0083334_consph_A.mtx,,83334,36,10000,1576845291
123,../data/0115967_torso2_A.mtx,,115967,8,10000,1120918957
124,../data/0185639_Si41Ge41H72_A.mtx,,185639,40,10000,2978947832
125,../data/0217918_pwtk_A.mtx,,217918,27,10000,2704734401
126,../data/0268096_Ga41As41H72_A.mtx,,268096,34,10000,3660164290
127,../data/0503625_af_2_k101_A.mtx,../data/0503625_af_2_k101_b.mtx,503625,17,10000,4902609189
128,../data/0952203_ldoor_A.mtx,,952203,24,10000,10241155449
129,../data/1228045_thermal2_A.mtx,../data/1228045_thermal2_b.mtx,1228045,3,10000,4237598655
